player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
17814423,Amit K,3067973,MAVERICKS,6,6,81,35,16.20,1,122.73,66,RHB,5,5,0,0
1519669,Ajit,3980746,Royal Challengers,7,7,76,28,15.20,2,120.63,63,RHB,2,7,0,0
13754939,Anand Sitaram Shinde,3067973,MAVERICKS,6,6,73,42,14.60,1,148.98,49,RHB,2,8,0,0
2290558,Rohit V Abbigeri,3980746,Royal Challengers,7,6,58,22,14.50,2,107.41,54,RHB,1,5,0,0
16199928,Pushkar Ramdasi,3067975,Royal Warriors,6,6,52,24,10.40,1,104.00,50,RHB,1,4,0,0
16132644,Swapnil Matte,3980744,Vikings,5,5,51,16,10.20,0,57.95,88,RHB,0,2,0,0
16163644,Jayant Parkhi,3067980,STRIKERS,4,4,50,26,16.67,1,87.72,57,RHB,1,2,0,0
19940642,Dinesh Patil Rahul Arcus,3980746,Royal Challengers,7,5,46,17,11.50,1,112.20,41,RHB,2,3,0,0
10392885,Suchit Awalgaonkar,3067979,PHOENIX,4,4,43,31,10.75,0,81.13,53,RHB,0,3,0,0
16132079,Gaurav Mishra,3067975,Royal Warriors,6,6,36,14,7.20,1,70.59,51,RHB,1,1,0,0
19941285,Vinit Karande B1205 Rahul Arcus,3067975,Royal Warriors,6,6,35,12,5.83,0,66.04,53,LHB,0,3,0,0
6521732,Gaurav Pillai,3980744,Vikings,5,5,34,17,6.80,0,97.14,35,RHB,1,2,0,0
1365178,Omkar Sinha,3067973,MAVERICKS,6,6,34,16,8.50,2,54.84,62,RHB,0,1,0,0
10654571,Arun Raghuwanshi,3980746,Royal Challengers,7,7,33,16,5.50,1,71.74,46,RHB,1,1,0,0
16180968,Sagar Jadhav,3067979,PHOENIX,4,4,30,14,7.50,0,78.95,38,RHB,0,1,0,0
12299664,Sudarshan,3067975,Royal Warriors,6,6,27,15,5.40,1,55.10,49,RHB,0,0,0,0
16132743,Bobby Venugopal,3980744,Vikings,5,5,25,13,6.25,1,67.57,37,RHB,0,1,0,0
20339413,Gaurav Nayyar,3980744,Vikings,5,5,24,10,12.00,3,88.89,27,RHB,2,0,0,0
8745736,Vishal,3067973,MAVERICKS,6,6,24,7,4.80,1,43.64,55,RHB,3,0,0,0
2124876,Pushkar Sinha,3067980,STRIKERS,4,3,23,10,11.50,1,63.89,36,RHB,0,1,0,0
10654570,Nilesh Changade,3067975,Royal Warriors,6,6,22,9,3.67,0,84.62,26,RHB,1,1,0,0
2798485,Dhiraj Deshmukh,3980744,Vikings,5,4,20,8,10.00,2,95.24,21,RHB,2,0,0,0
10393119,Amit Deshmukh,3067979,PHOENIX,4,4,19,14,6.33,1,79.17,24,RHB,1,0,0,0
20121723,Jemin Arcus,3067980,STRIKERS,4,4,19,15,6.33,1,50.00,38,RHB,0,0,0,0
12298915,Chandan Rahul Arcus,3067975,Royal Warriors,6,4,18,8,9.00,2,75.00,24,RHB,0,1,0,0
3881514,Raghav,3980746,Royal Challengers,7,5,18,10,6.00,2,94.74,19,RHB,0,2,0,0
