player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
16163644,Jayant Parkhi,3067980,STRIKERS,8,8,169,38,33.80,3,143.22,118,RHB,7,14,0,0
3881514,Raghav,3067973,MAVERICKS,7,7,97,28,19.40,2,179.63,54,RHB,0,13,0,0
8745736,Vishal Ratan Singh,3067975,Royal Warriors,7,7,88,43,17.60,2,146.67,60,RHB,2,10,0,0
6521732,Gaurav Pillai,3067980,STRIKERS,8,8,86,25,14.33,2,90.53,95,RHB,3,6,0,0
16180968,Sagar Jadhav,3067975,Royal Warriors,7,7,77,26,12.83,1,105.48,73,RHB,5,5,0,0
19941285,Vinit Karande,3067973,MAVERICKS,7,7,76,31,12.67,1,101.33,75,LHB,0,8,0,0
2290558,Rohit V Abbigeri,3980746,Royal Challengers,5,5,67,42,13.40,0,115.52,58,RHB,1,7,0,0
2638892,Siddhanth Parekh,3980744,Vikings,5,5,61,30,12.20,0,100.00,61,RHB,1,5,0,0
29245404,Krvivek,3067975,Royal Warriors,7,7,57,22,11.40,2,103.64,55,RHB,1,6,0,0
24593860,Mukesh Singh Arcus,3067979,PHOENIX,6,6,53,25,10.60,1,86.89,61,RHB,3,3,0,0
19940642,Dinesh Patil Rahul Arcus,3980746,Royal Challengers,5,5,52,27,13.00,1,104.00,50,RHB,3,3,0,0
24790051,Akshay Ratnaparkhi,3067979,PHOENIX,6,6,50,10,10.00,1,90.91,55,RHB,1,4,0,0
20121723,Jemin Mistry,3980744,Vikings,5,4,47,29,15.67,1,111.90,42,RHB,1,4,0,0
3683944,Prashant Puri,3067979,PHOENIX,6,5,47,23,9.40,0,109.30,43,RHB,5,1,0,0
16132644,Swapnil Matte,3980744,Vikings,5,5,44,18,8.80,0,73.33,60,RHB,2,2,0,0
10654571,Arun Raghuwanshi,3980746,Royal Challengers,5,5,43,16,10.75,1,86.00,50,RHB,3,2,0,0
20288476,Sarvesh Desai,3067973,MAVERICKS,7,7,43,17,6.14,0,75.44,57,RHB,0,5,0,0
6406110,Ashish Pandit,3980744,Vikings,5,5,33,12,6.60,0,113.79,29,RHB,4,1,0,0
7814874,Sudarshan Kabra,3067973,MAVERICKS,7,5,32,17,6.40,0,94.12,34,RHB,2,2,0,0
1365178,Omkar Sinha,3067979,PHOENIX,6,5,28,17,9.33,2,62.22,45,RHB,1,2,0,0
10393119,Amit Deshmukh,3067973,MAVERICKS,7,6,28,8,5.60,1,90.32,31,RHB,1,2,0,0
850817,Hrishikesh Joshi,3067975,Royal Warriors,7,4,27,16,9.00,1,69.23,39,RHB,0,1,0,0
20047642,Amit Moon,3067975,Royal Warriors,7,5,27,14,9.00,2,103.85,26,RHB,1,2,0,0
16132743,Bobby Venugopal,3980746,Royal Challengers,5,4,25,13,8.33,1,80.65,31,RHB,2,0,0,0
1519669,Ajit,3980746,Royal Challengers,5,5,23,10,4.60,0,100.00,23,RHB,2,0,0,0
4746732,Aradhya Deshmukh,3067980,STRIKERS,8,5,16,8,5.33,2,64.00,25,RHB,0,1,0,0
33119034,Laxmikant Mane,3067980,STRIKERS,8,5,15,9,5.00,2,88.24,17,RHB,0,1,0,0
33119043,Rubal,3067980,STRIKERS,8,5,15,7,5.00,2,51.72,29,RHB,0,0,0,0
16132079,Gaurav Mishra,3980744,Vikings,5,4,14,8,7.00,2,66.67,21,RHB,0,0,0,0
2124876,Pushkar Sinha,3067973,MAVERICKS,7,6,14,7,3.50,2,51.85,27,RHB,0,1,0,0
16593052,Nishant Zunzunwala,3067980,STRIKERS,8,6,14,7,2.33,0,48.28,29,LHB,0,1,0,0
3552794,Prasad Kale Kp45,3067979,PHOENIX,6,4,13,7,4.33,1,39.39,33,RHB,0,0,0,0
24593819,Khantil Dixit C1102 Rahul Arcus,3067975,Royal Warriors,7,3,11,9,5.50,1,100.00,11,RHB,0,1,0,0
10654570,Nilesh Changade,3980746,Royal Challengers,5,4,11,8,3.67,1,91.67,12,RHB,0,1,0,0
16199977,Shahaji Dhumal,3067979,PHOENIX,6,4,9,9,4.50,2,112.50,8,RHB,0,1,0,0
12299664,Sudarshan Patil,3067975,Royal Warriors,7,4,8,3,2.00,0,42.11,19,RHB,0,0,0,0
22507739,Avinash,3980744,Vikings,5,3,6,4,6.00,2,75.00,8,RHB,1,0,0,0
19940638,Bibhu Prasad Panda,3067980,STRIKERS,8,3,6,4,3.00,1,46.15,13,RHB,0,0,0,0
33119039,Sharad Agrawal,3980746,Royal Challengers,5,2,5,5,5.00,1,125.00,4,RHB,1,0,0,0
30912036,Kunal Arora,3067973,MAVERICKS,7,4,5,2,2.50,2,38.46,13,RHB,0,0,0,0
23235448,Raghav Sharma,3067975,Royal Warriors,7,6,5,2,0.83,0,27.78,18,RHB,0,0,0,0
24593862,Harshad Dewate Rahul Arcus,3067975,Royal Warriors,7,2,4,3,4.00,1,100.00,4,RHB,0,0,0,0
35258853,Ashwini Singh,3067973,MAVERICKS,7,4,4,2,2.00,2,33.33,12,RHB,0,0,0,0
2798485,Dhiraj Deshmukh,3980746,Royal Challengers,5,1,3,3,-,1,60.00,5,RHB,0,0,0,0
4249093,Ravi,3980744,Vikings,5,4,3,2,1.00,1,25.00,12,RHB,0,0,0,0
10394211,Vaibhav Patil,3067973,MAVERICKS,7,4,3,2,1.50,2,30.00,10,RHB,0,0,0,0
20596222,Sadashiv Swami,3067979,PHOENIX,6,2,2,1,2.00,1,40.00,5,RHB,0,0,0,0
21968770,Sandesh Jain,3980744,Vikings,5,1,1,1,1.00,0,50.00,2,RHB,0,0,0,0
20339476,Dayanand Patil,3067980,STRIKERS,8,1,1,1,-,1,100.00,1,RHB,0,0,0,0
10703577,Yogesh Pandit,3980746,Royal Challengers,5,2,1,1,1.00,1,25.00,4,RHB,0,0,0,0
20339413,Gaurav Nayyar,3980744,Vikings,5,2,1,1,1.00,1,14.29,7,RHB,0,0,0,0
26007816,Chirag Rokade,3067980,STRIKERS,8,2,1,1,0.50,0,14.29,7,RHB,0,0,0,0
24593743,Mayank Shrivastav B201 Rahul Arcus,3067979,PHOENIX,6,3,1,1,0.50,1,25.00,4,LHB,0,0,0,0
17814423,Amit Karande,3067973,MAVERICKS,2,1,0,0,-,1,0.00,1,RHB,0,0,0,0
7525808,Prashant A,3067979,PHOENIX,6,2,0,0,-,1,0.00,2,RHB,0,0,0,0
10392885,Suchit Awalgaonkar,3067979,PHOENIX,2,0,0,0,-,0,0,0,RHB,0,0,0,0
31912310,Palash Soni,3067980,STRIKERS,3,0,0,0,-,0,0,0,LHB,0,0,0,0
